From	Entry	GeneID	Organism
ENSG00000130717	Q9HA47	83549;	Homo sapiens (Human)
ENSG00000130717	G3V170		Homo sapiens (Human)
ENSG00000198925	Q7Z3C6	79065;	Homo sapiens (Human)
ENSG00000198925	C9IYZ9		Homo sapiens (Human)
ENSG00000198925	C9JD65		Homo sapiens (Human)
ENSG00000198925	C9JDK4		Homo sapiens (Human)
ENSG00000198925	C9JFV2		Homo sapiens (Human)
ENSG00000198925	C9JKV7		Homo sapiens (Human)
ENSG00000198925	C9JS65		Homo sapiens (Human)
ENSG00000198925	C9JX27		Homo sapiens (Human)
ENSG00000198925	C9JXG2		Homo sapiens (Human)
ENSG00000198925	F2Z3I6		Homo sapiens (Human)
ENSG00000198925	H7C1G6		Homo sapiens (Human)
ENSG00000276293	P78356	8396;	Homo sapiens (Human)
ENSG00000276293	A0A087WT35		Homo sapiens (Human)
ENSG00000241839	Q8TD55	80301;	Homo sapiens (Human)
ENSG00000197753	Q8TAF8	222662;	Homo sapiens (Human)
ENSG00000197753	A0A494BZZ7		Homo sapiens (Human)
ENSG00000197753	A0A494C136		Homo sapiens (Human)
ENSG00000173083	Q9Y251	10855;	Homo sapiens (Human)
ENSG00000173083	A0A7P0TBD9		Homo sapiens (Human)
ENSG00000173083	D6RAQ1		Homo sapiens (Human)
ENSG00000173083	D6RHG4		Homo sapiens (Human)
ENSG00000196975	P09525	307;	Homo sapiens (Human)
ENSG00000196975	A0A0U1RRE7		Homo sapiens (Human)
ENSG00000196975	A0A1Y8EKW3		Homo sapiens (Human)
ENSG00000196975	B4E1S2		Homo sapiens (Human)
ENSG00000196975	Q6P452	307;	Homo sapiens (Human)
ENSG00000117069	Q9BVH7	81849;	Homo sapiens (Human)
ENSG00000117069	F2Z2C8		Homo sapiens (Human)
ENSG00000204856	Q8WUB2	29902;	Homo sapiens (Human)
ENSG00000204856	F8VXY8		Homo sapiens (Human)
ENSG00000135439	Q99490	116986;	Homo sapiens (Human)
ENSG00000135439	F8VVT9	116986;	Homo sapiens (Human)
ENSG00000135439	H0YHB1		Homo sapiens (Human)
ENSG00000135439	J3KNM6		Homo sapiens (Human)
ENSG00000178252	Q9NNW5	11180;	Homo sapiens (Human)
ENSG00000178252	A0A087X295	11180;	Homo sapiens (Human)
ENSG00000178252	C9JFP6		Homo sapiens (Human)
ENSG00000178252	C9K020		Homo sapiens (Human)
ENSG00000178252	E5RFX3		Homo sapiens (Human)
ENSG00000178252	E9PBK6		Homo sapiens (Human)
ENSG00000178252	E9PDU5	11180;	Homo sapiens (Human)
ENSG00000178252	F8WE36		Homo sapiens (Human)
ENSG00000178252	V9GYU1		Homo sapiens (Human)
ENSG00000178252	V9GZ48		Homo sapiens (Human)
ENSG00000178252	V9GZ65		Homo sapiens (Human)
ENSG00000129226	P34810	968;	Homo sapiens (Human)
ENSG00000129226	J3KRX0		Homo sapiens (Human)
ENSG00000129226	J3KT24		Homo sapiens (Human)
ENSG00000100650	Q13243	6430;	Homo sapiens (Human)
ENSG00000100650	B4DJK0		Homo sapiens (Human)
ENSG00000100650	B4DUA4		Homo sapiens (Human)
ENSG00000100650	G3V5K8		Homo sapiens (Human)
ENSG00000135241	Q9NP80	50640;	Homo sapiens (Human)
ENSG00000135241	A0A0C4DG51		Homo sapiens (Human)
ENSG00000135241	C9J9W9		Homo sapiens (Human)
ENSG00000135241	C9JAX4		Homo sapiens (Human)
ENSG00000176225	Q86VV8	25914;	Homo sapiens (Human)
ENSG00000176225	A0A1W2PPP3		Homo sapiens (Human)
ENSG00000176225	A0A1W2PPP7		Homo sapiens (Human)
ENSG00000176225	A0A1W2PQI7		Homo sapiens (Human)
ENSG00000176225	A0A1W2PR21		Homo sapiens (Human)
ENSG00000176225	A0A1W2PR32		Homo sapiens (Human)
ENSG00000176225	A0A1W2PR96		Homo sapiens (Human)
ENSG00000176225	A0A7I2V5W4		Homo sapiens (Human)
