From	Entry	GeneID	Organism	Entry Name	Interacts with
APOBEC3B	Q9UH17	9582;	Homo sapiens (Human)	ABC3B_HUMAN	P11802; O95994; Q12982
EHBP1L1	Q8N3D4	254102;	Homo sapiens (Human)	EH1L1_HUMAN	
NMNAT2	Q9BZQ4	23057;	Homo sapiens (Human)	NMNA2_HUMAN	
GOLGA5	Q8TBA6	9950;	Homo sapiens (Human)	GOGA5_HUMAN	
SH3BGRL3	Q9H299	83442;	Homo sapiens (Human)	SH3L3_HUMAN	Q96D03
ATP6V1C1	P21283	528;	Homo sapiens (Human)	VATC1_HUMAN	P62330
ACTR8	Q9H981	93973;	Homo sapiens (Human)	ARP8_HUMAN	Q9H9F9; Q9Y5K5
DENND2A	Q9ULE3	27147;	Homo sapiens (Human)	DEN2A_HUMAN	Q96B97
LAT2	Q9GZY6	7462;	Homo sapiens (Human)	NTAL_HUMAN	
PSMB7	Q99436	5695;	Homo sapiens (Human)	PSB7_HUMAN	Q9Y244; P20618; P28074; P28072; P28065
TBC1D23	Q9NUY8	55773;	Homo sapiens (Human)	TBC23_HUMAN	Q7L5A3; Q8TC20; P60410; P60411; Q9BQ66; Q9BWW4; O43379; Q8TC20; P60411; Q7Z699; Q9BWW4; O43379
TFB2M	Q9H5Q4	64216;	Homo sapiens (Human)	TFB2M_HUMAN	
TMEM106A	Q96A25	113277;	Homo sapiens (Human)	T106A_HUMAN	O75355-2; Q9UKR5; P29033; O14653; P24593; Q9BVX2; Q6UX40; Q5BJH2-2; Q8N661; Q9H2S6-2; O14817
DIS3	Q9Y2L1	22894;	Homo sapiens (Human)	RRP44_HUMAN	Q01780; Q9NQT5
ERICH2	A1L162	285141;	Homo sapiens (Human)	ERIC2_HUMAN	P42858; Q7L2V5; O75367; Q9UIG4; O00560
TRAPPC11	Q7Z392	60684;	Homo sapiens (Human)	TPC11_HUMAN	
WDR24	Q96S15	84219;	Homo sapiens (Human)	WDR24_HUMAN	Q92624; Q9NXC5; P58004; P58005; Q5T011; Q6PJI9
ZNF318	Q5VUA4	24149;	Homo sapiens (Human)	ZN318_HUMAN	
RELT	Q969Z4	84957;	Homo sapiens (Human)	TR19L_HUMAN	
PRKAB2	O43741	5565;	Homo sapiens (Human)	AAKB2_HUMAN	Q8NFV4-4; Q5BKX5-3; Q6UY14-3; Q9NYG5-2; Q03989; Q9H7T9; P01185; Q8N9N5; Q8N9N5-2; Q7L4P6; Q9H2G9; Q9NWW7; Q3SXR2; P42575; Q9BUN5-3; O60729; O14627; Q9H5F2; P27918; Q96BA8; O43186; A8MQ03; P14920; O95865; Q96D03; G5E9A7; Q7L591-3; O00472; Q9NQ30; P22607; P21333-2; P15976; P15976-2; Q8WXI9; Q5JQS6; Q7L5D6; Q08379; A6NEM1; Q9H8Y8; Q6PI77; Q8TC17; Q14957; P28799; O15499; P06396; P04792; Q8IYA8; Q13422; Q9UKT9; Q9NZH6; Q5VVH5; Q9H079; Q7Z7F0-4; O60333-2; Q9UIH9; Q5JUW0-3; Q15323; Q6A162; Q07627; Q8IUG1; P60412; P60370; P60409; P60410; P60411; Q9BYP8; Q9BYR9; Q9BYR6; Q9BQ66; Q9BYR5; Q9BYR2; P26371; Q9BYQ4; Q9BYQ3; Q9BYQ2; Q9BYQ0; Q9UBR4-2; Q5T3J3; Q9Y250; Q9BRK4; Q9Y5V3; Q3KP22-3; P31153; Q99750; P50222; Q8N6F8; Q6PF18; Q15742; P0CG21; Q8TDS5; P18545; Q13956; Q99471; O75928; Q6ZR37; Q96KQ4; Q96I34; Q9GZV8; Q13131; P54646; P54619; Q9UGI9; O00231; P61289; P11217; Q96PU8; Q96QF0-7; Q5RL73; Q93062-3; Q04864-2; Q8TAI7; Q9UFD9; Q9Y3C5; Q01974; Q9UNE2; Q9UPU9-3; Q14140; Q12824-2; Q53HV7-2; Q7Z699; O43609; O43597; O75558; Q8N4C7; Q5VWN6-2; Q99081-3; Q9Y242; Q9NQB0-10; Q96PF1; Q08117-2; P19237; Q12933; Q96RU7; Q14142; Q9UPQ4-2; Q8IWZ5; Q9BYV2; Q969E8; Q5W5X9-3; Q9UMX0; Q5T124; Q70EL1-9; P61758; Q9UK41-2; Q9BRX9; Q53FD0-2; Q8TF47; Q96E35; Q13360-2; Q9UL36; Q6S9Z5; Q8TF50; Q9P0T4; A0A1U9X8X8; Q7Z783; Q9Y649
FRMD4B	Q9Y2L6	23150;	Homo sapiens (Human)	FRM4B_HUMAN	
GSTCD	Q8NEC7	79807;	Homo sapiens (Human)	GSTCD_HUMAN	O60341; Q96LA8
TMEM65	Q6PI78	157378;	Homo sapiens (Human)	TMM65_HUMAN	O95870; Q13520; Q3SXY8; P49447; Q53TN4; Q15125; Q9Y282; Q8TBP5; Q5JX71; P48165; O15529; Q8NBQ5; Q9P2J2-2; P26951; Q8N5M9; Q9HDC5; Q15800; Q13113; O14684; P15151; Q9H6H4; Q86VR2; Q9NY72; Q3KNW5; P54219-3; Q9NQQ7-3; Q9UHI5; Q9NPL8; Q96IK0; Q96HE8; Q9Y320; Q5T4F4
ZNF432	O94892	9668;	Homo sapiens (Human)	ZN432_HUMAN	Q9UHG0
CDH11	P55287	1009;	Homo sapiens (Human)	CAD11_HUMAN	
PCSK9	Q8NBP7	255738;	Homo sapiens (Human)	PCSK9_HUMAN	P07355; P01130; P08253; P01130
PEMT	Q9UBM1	10400;	Homo sapiens (Human)	PEMT_HUMAN	Q13520; P27105
NHLRC3	Q5JS37	387921;	Homo sapiens (Human)	NHLC3_HUMAN	
ZNF766	Q5HY98	90321;	Homo sapiens (Human)	ZN766_HUMAN	Q5TD97
XPNPEP3	Q9NQH7	63929;	Homo sapiens (Human)	XPP3_HUMAN	
MANEA	Q5SRI9	79694;	Homo sapiens (Human)	MANEA_HUMAN	
UBE2W	Q96B02	55284;	Homo sapiens (Human)	UBE2W_HUMAN	P48643; Q9NX47; O43586; Q99942; Q9HAT0; Q8N6Y0
CABIN1	Q9Y6J0	23523;	Homo sapiens (Human)	CABIN_HUMAN	Q02080
TMEM230	Q96A57	29058;	Homo sapiens (Human)	TM230_HUMAN	O43765
DLX6	P56179	1750;	Homo sapiens (Human)	DLX6_HUMAN	
DHRS9	Q9BPW9	10170;	Homo sapiens (Human)	DHRS9_HUMAN	P23560-2; P04406; Q9UNK0
MAZ	P56270	4150;	Homo sapiens (Human)	MAZ_HUMAN	P43146; P70211; Q91562; P42858; P60411; Q9NRD5
MCM3	P25205	4172;	Homo sapiens (Human)	MCM3_HUMAN	P62805; P49736; P33992; Q14566; Q9BTE3; Q13416
DMD	P11532	1756;	Homo sapiens (Human)	DMD_HUMAN	Q9UBT7; Q9Y4J8; O60941; O60941-5; Q96CS2; P41235-3; P08727; Q9NRD5; Q13424; Q13884; Q13425; Q01484; Q3T1J5
KCTD21	Q4G0X4	283219;	Homo sapiens (Human)	KCD21_HUMAN	Q8WYQ4-2; Q8IUI8; Q4G0X4; Q17RB8; Q9NWW6; Q96HA8; O60437; Q96BH1; P61960; Q96E35
AMER1	Q5JTC6	139285;	Homo sapiens (Human)	AMER1_HUMAN	Q8N944; P25054; O15169; Q9Y297; P35222; Q9UKB1; Q14145
DTD1	Q8TEA8	92675;	Homo sapiens (Human)	DTD1_HUMAN	
ZNF611	Q8N823	81856;	Homo sapiens (Human)	ZN611_HUMAN	
FBRS	Q9HAH7	64319;	Homo sapiens (Human)	FBRS_HUMAN	
ZNF300	Q96RE9	91975;	Homo sapiens (Human)	ZN300_HUMAN	Q15699
CLSTN3	Q9BQT9	9746;	Homo sapiens (Human)	CSTN3_HUMAN	Q96FZ5; P21145; Q16617; Q6UX06; Q9UHJ9-5; Q6UX40; Q969K7; Q5BJF2; Q8N609; Q8N966
CCDC14	Q49A88	64770;	Homo sapiens (Human)	CCD14_HUMAN	Q96MT8; P43364-2; Q15154; P50542; Q96MT8-3; P48730; P26196; P06396; P01112; O60341; P43364; O15481; Q96T60; O76064; Q8N3L3
TCHH	Q07283	7062;	Homo sapiens (Human)	TRHY_HUMAN	
RAP1B	P61224	5908;	Homo sapiens (Human)	RAP1B_HUMAN	P27797; P36957; Q5JR59-3; Q8TDX7; Q12967; Q12967-6; P47736; Q8WWW0; Q9EQZ6-3
AGO4	Q9HCK5	192670;	Homo sapiens (Human)	AGO4_HUMAN	O15397; Q8NDV7
CLPTM1	O96005	1209;	Homo sapiens (Human)	CLPT1_HUMAN	Q8VCW4
STAM2	O75886	10254;	Homo sapiens (Human)	STAM2_HUMAN	Q9NYB9; Q9NYB9-2; Q92870-2; Q96B67; P54253; P48643; O00311; Q96A83-2; Q15038; Q14203-5; G5E9A7; P22607; P01112; P42858; O60333-2; Q9P2K6; Q969R5; Q13094; Q99732; P02545; Q9BVL2; Q96CS7; O60260-5; P60891; Q13671; Q9Y3C5; Q9H788; Q9H788-2; P37840; O95630; O60220; P0CG47; Q9UMX0; Q9UHD9; A5D8V6; O76024; Q96K80; Q8WU02
COPZ2	Q9P299	51226;	Homo sapiens (Human)	COPZ2_HUMAN	
CALML3	P27482	810;	Homo sapiens (Human)	CALL3_HUMAN	Q15051-2; Q9H0B3; A0JP07; Q8NCR3; Q9HD67; Q9NYB0
DDX21	Q9NR30	9188;	Homo sapiens (Human)	DDX21_HUMAN	Q8N187; P07910; P42858; O00505; Q99732; P10636; Q15554; P0DTC9
FRMD3	A2A2Y4	257019;	Homo sapiens (Human)	FRMD3_HUMAN	Q96FZ5; O43169; Q8N5M9; Q8IXM6; Q5VZY2; Q9Y6X1; Q8N6R1; Q96G79; Q5SNT2-2; A2RU14; Q5BJF2; O95159
PPP2R5D	Q14738	5528;	Homo sapiens (Human)	2A5D_HUMAN	Q8WWB3; A1L4K1; Q13136; P30153; P30154; Q8N6Y0; O08785
TOMM40	O96008	10452;	Homo sapiens (Human)	TOM40_HUMAN	Q2TAZ0
GORASP2	Q9H8Y8	26003;	Homo sapiens (Human)	GORS2_HUMAN	Q9H7C9; Q96HD9; Q9NXW9; Q96GX9; O94989; Q15041; O95671; O75348; P54253; P54252; Q7L4P6; Q9Y2F9; Q6P1W5; Q9Y2V2; Q13191; Q9Y3M2; Q494R4; Q9GZT6; P32320; Q9UJX2; Q07002; P55273; Q8TAP6; P13569; Q9UFW8; Q9HD42; Q9UHC6; P02489; P02511; P48730-2; P32321; Q14565; P59910; Q16555; Q9H596; Q13115; O43781-2; Q9NTX5; Q14232; Q9NT22; Q8TC92; O95571; Q9NYK6-3; Q92562; Q8TAK5; O60262; P63211; Q08379; Q8N9W4-2; O43708; Q9UHL9; Q00444; O75506; Q9Y547; Q9NQC1-2; Q8WZ19; Q96MP8-2; Q7L273; Q9BVG8; Q9BVG8-5; Q6L8G4; Q17RB8; Q9GZQ8; O95460-2; Q9UJV3-2; Q9BRT3; Q502X0; Q8TAP9; O60682; Q5VTT5-2; Q5HYW2; Q9HAN9; P16083; Q9UKK9; P11926; P61457; O76083; Q96PV4; P30048; O43741; P60891; P25788; Q13200; Q15008; O00194; Q14964; Q8TBY0; O15211; P49796-8; Q6NTF9-3; P49247; P57086; Q8WYJ6; Q6ZU15; P34896; Q16560-2; Q6ZVD7; Q01995; P15884; Q9BXF9; Q08117; Q08117-2; Q96S44; P17752; Q13077; Q12933; Q9BUZ4; O00463; O75865-2; O00635; Q86TN4-2; Q15714-2; Q8WW01; Q15631; Q6DKK2; P40222; Q9H832; O95164; Q9H9H4; Q8N1B4; Q9NQW7-3; O96006; O43829; Q96E35; Q9UQR1; Q9UQR1-2; PRO_0000045603 [Q99IB8]
BRIP1	Q9BX63	83990;	Homo sapiens (Human)	FANCJ_HUMAN	P54132; P38398; Q9BPX1; P40692; Q96T76
CHST12	Q9NRB3	55501;	Homo sapiens (Human)	CHSTC_HUMAN	
ZCCHC9	Q8N567	84240;	Homo sapiens (Human)	ZCHC9_HUMAN	
SEPHS2	Q99611	22928;	Homo sapiens (Human)	SPS2_HUMAN	
RYK	P34925	6259;	Homo sapiens (Human)	RYK_HUMAN	
ATP6AP1	Q15904	537;	Homo sapiens (Human)	VAS1_HUMAN	P42858; PRO_0000449624 [P0DTD1]
TOM1L1	O75674	10040;	Homo sapiens (Human)	TM1L1_HUMAN	Q00610; P00533; P62993; Q9H0E2; O60784; Q99816; P52735; P59910; Q9H0E2
ESX1	Q8N693	80712;	Homo sapiens (Human)	ESX1_HUMAN	
ATP6V0C	P27449	527;	Homo sapiens (Human)	VATL_HUMAN	Q13520; P07307-3; P19397; Q07108; P11912; Q96G23; Q86T13; Q6ZS10; Q9UHP7-3; Q7Z7G2; Q9NR28; Q96KC8; Q92838; Q9HAV5; Q9Y282; P84090; P22794; Q96KR6; O15552; Q8TBE3; Q8TDT2; O00155; O15529; Q7Z5P4; Q13651; P16871; Q92876; P26715; Q8N386; Q8IX19; P21757; Q6P499; P35372-10; Q9BQ51; Q6UXB8; P25788; Q9H6H4; Q86VR2; Q9NY72; Q7Z769; P30825; Q9BZL3; Q9HBV2; Q8WWF3; P27105; Q96L08; Q8IV31; Q9P0T7; Q9H7M9; Q6PEW1; P0CK45
UCK1	Q9HA47	83549;	Homo sapiens (Human)	UCK1_HUMAN	P22607; P06396; A0A0S2Z5Y6
NPEPL1	Q8NDH3	79716;	Homo sapiens (Human)	PEPL1_HUMAN	Q12800; P55212; O00291; P13473-2; Q99750
NEGR1	Q7Z3B1	257194;	Homo sapiens (Human)	NEGR1_HUMAN	Q13449; P61916; Q9P121
YBX1	P67809	4904;	Homo sapiens (Human)	YBOX1_HUMAN	Q07021; Q13616; Q08211; Q09472; Q7Z6M2; Q14103-4; P62310; Q99697; O15355; Q13148; P13693; Q08705; PRO_0000038050 [P19712]
UTS2	O95399	10911;	Homo sapiens (Human)	UTS2_HUMAN	
ARGLU1	Q9NWB6	55082;	Homo sapiens (Human)	ARGL1_HUMAN	P78362
GRIN2D	O15399	2906;	Homo sapiens (Human)	NMDE4_HUMAN	Q62936
DIS3L	Q8TF46	115752;	Homo sapiens (Human)	DI3L1_HUMAN	Q9NQT5; Q13868; Q7Z699
