From	Entry	GeneID	Organism
ENSG00000145687	P81877	23635;	Homo sapiens (Human)
ENSG00000145687	A0A087X159	23635;	Homo sapiens (Human)
ENSG00000145687	D6RAC5		Homo sapiens (Human)
ENSG00000145687	H0Y9M5		Homo sapiens (Human)
ENSG00000145687	H0Y9V4		Homo sapiens (Human)
ENSG00000160318	Q8NHS1	125875;	Homo sapiens (Human)
ENSG00000160318	M0R1J6		Homo sapiens (Human)
ENSG00000145495	O60337	10299;	Homo sapiens (Human)
ENSG00000145495	A0A0B4J206		Homo sapiens (Human)
ENSG00000145495	D6RHY7		Homo sapiens (Human)
ENSG00000173868	Q8TCT1	162466;	Homo sapiens (Human)
ENSG00000173868	D6RB58		Homo sapiens (Human)
ENSG00000173868	D6RHH9		Homo sapiens (Human)
ENSG00000173868	D6RIT6		Homo sapiens (Human)
ENSG00000173868	I3L4N1		Homo sapiens (Human)
ENSG00000236980	H3BNL1	646498;	Homo sapiens (Human)
ENSG00000236980	H3BQU4	646498;	Homo sapiens (Human)
ENSG00000101473	O14734	10005;	Homo sapiens (Human)
ENSG00000101473	A0A494C0N6		Homo sapiens (Human)
ENSG00000101473	E9PIS4		Homo sapiens (Human)
ENSG00000101473	E9PJN0		Homo sapiens (Human)
ENSG00000101473	E9PRD4		Homo sapiens (Human)
ENSG00000101473	F6VBM3		Homo sapiens (Human)
ENSG00000101473	H0Y698		Homo sapiens (Human)
ENSG00000101473	H7C5A7		Homo sapiens (Human)
ENSG00000101473	Q9BR14		Homo sapiens (Human)
ENSG00000091181	Q01344	3568;	Homo sapiens (Human)
ENSG00000091181	C9J3K8		Homo sapiens (Human)
ENSG00000091181	C9J6C4		Homo sapiens (Human)
ENSG00000091181	E7ERY4		Homo sapiens (Human)
ENSG00000212122	Q9BXA7	83942;	Homo sapiens (Human)
ENSG00000221888	Q15619	26188;	Homo sapiens (Human)
ENSG00000113119	Q96DC7	55374;	Homo sapiens (Human)
ENSG00000113119	D6R986		Homo sapiens (Human)
ENSG00000113119	D6REQ9		Homo sapiens (Human)
ENSG00000113119	D6REY4		Homo sapiens (Human)
ENSG00000169750	P60763	5881;	Homo sapiens (Human)
ENSG00000169750	J3KSC4		Homo sapiens (Human)
ENSG00000169750	J3QLK0		Homo sapiens (Human)
ENSG00000185864	C9JG80		Homo sapiens (Human)
ENSG00000185864	A0A087WT63		Homo sapiens (Human)
ENSG00000185864	A0A804HK81	440345;	Homo sapiens (Human)
ENSG00000185864	C9JB18		Homo sapiens (Human)
ENSG00000185864	E5RHP9		Homo sapiens (Human)
ENSG00000185864	E7EQW1		Homo sapiens (Human)
ENSG00000185864	F5GWQ4		Homo sapiens (Human)
ENSG00000185864	F5H108		Homo sapiens (Human)
ENSG00000185864	F5H5F2		Homo sapiens (Human)
ENSG00000185864	F5H8A1		Homo sapiens (Human)
ENSG00000135968	Q8IWJ2	9648;	Homo sapiens (Human)
ENSG00000135968	A0A8I5KVA2		Homo sapiens (Human)
ENSG00000135968	A0A8I5KW38		Homo sapiens (Human)
ENSG00000135968	A0A8I5QJB7	9648;	Homo sapiens (Human)
ENSG00000135968	B8ZZA5		Homo sapiens (Human)
ENSG00000135968	B8ZZW2		Homo sapiens (Human)
ENSG00000135968	H7BYJ9		Homo sapiens (Human)
ENSG00000135968	U3KPU4		Homo sapiens (Human)
ENSG00000135968	U3KQE0		Homo sapiens (Human)
ENSG00000135917	Q9BZV2	80704;	Homo sapiens (Human)
ENSG00000135917	A0A2R8Y655		Homo sapiens (Human)
ENSG00000135917	A0A2R8Y694		Homo sapiens (Human)
ENSG00000135917	A0A2R8YFC5		Homo sapiens (Human)
ENSG00000135917	A0A2R8YHG5		Homo sapiens (Human)
ENSG00000135917	B8ZZ39		Homo sapiens (Human)
ENSG00000135917	B8ZZW1		Homo sapiens (Human)
ENSG00000135917	C9IZI1		Homo sapiens (Human)
ENSG00000135917	C9J4J5		Homo sapiens (Human)
ENSG00000135917	E7EM61		Homo sapiens (Human)
ENSG00000007402	Q9NY47	9254;	Homo sapiens (Human)
ENSG00000007402	C9JE82		Homo sapiens (Human)
ENSG00000007402	C9JVC9		Homo sapiens (Human)
ENSG00000164794	Q6PIU1	27012;	Homo sapiens (Human)
ENSG00000042753	P53680	1175;	Homo sapiens (Human)
ENSG00000042753	M0QYZ2	1175;	Homo sapiens (Human)
ENSG00000042753	M0QZ21		Homo sapiens (Human)
ENSG00000042753	M0R0N4	1175;	Homo sapiens (Human)
